transaction_id,name,email,phone,address,purchased_item,price
t-834207,Keith White,keith.white@example.com,001-490-356-3466x219,"PSC 7000, Box 0663, APO AP 61947",Cool tablet,627
t-194507,Nicole Weaver,nicole.weaver@example.com,(581)642-5743,"Unit 3524 Box 6820, DPO AE 31360",Retro mobile phone,584
t-310414,Joseph Perez,joseph.perez@example.com,297.447.3481,"50270 Graham Alley, Lake Brittany, NH 15851",Yet another laptop,405
t-947522,Cheryl Salinas,cheryl.salinas@example.com,945.248.4798x675,"51407 Jones Drive Suite 478, Wattsstad, CA 53037",Cool tablet,537
t-156647,Monica Foster,monica.foster@example.com,(738)712-8058x1408,"81902 Roberts Route Suite 280, Port Andrewmouth, WV 50204",Retro mobile phone,943
t-351101,Kristen Sims,kristen.sims@example.com,695.936.0317,"295 Caldwell Trail Suite 728, Masonland, AK 97830",Yet another laptop,689
t-204703,Amy Melton,amy.melton@example.com,6877649913,"3623 Bennett Circle Apt. 014, North Rachelstad, GA 45765",Fancy camera,311
t-384317,Mark Mendez,mark.mendez@example.com,885.343.2541,"64055 Diaz Lake Suite 372, North Janetchester, NJ 90664",Nice headphones,908
t-843205,Shawn Williams,shawn.williams@example.com,498.450.2893x57283,"381 Taylor Harbors, New Regina, AK 11309",Retro mobile phone,75
t-880518,Craig Rogers,craig.rogers@example.com,001-490-339-4196x702,"583 Ryan Roads Apt. 230, East April, UT 95139",Retro mobile phone,380
t-383504,Brittany Ferguson,brittany.ferguson@example.com,+1-261-872-0807x3664,"8405 Bender Unions Suite 492, Daymouth, NE 99023",Nice headphones,76
t-987346,Larry Cox,larry.cox@example.com,(336)935-8821x095,"82491 David Gateway, Mitchellfurt, SC 71424",Yet another laptop,398
t-401543,Matthew Douglas,matthew.douglas@example.com,357-540-0710,"98044 Ann Park, Lake Allisontown, WV 67146",Retro mobile phone,915
t-753338,Ashley Burton,ashley.burton@example.com,+1-244-528-8112,"718 Reid Stream Apt. 341, Savageville, PR 70895",Fancy camera,1152
t-355049,Johnny Sanders,johnny.sanders@example.com,+1-278-534-2650x55499,"11067 Sarah Passage Apt. 379, Wendyshire, UT 16993",Nice headphones,515
t-185345,Rodney Johnson,rodney.johnson@example.com,+1-759-944-1898,"7717 Hopkins Valleys, Jessestad, AK 83426",Nice headphones,241
t-479495,Krista Robinson,krista.robinson@example.com,459-636-3589x3354,"48964 Osborne Path Apt. 026, Lake Ronald, KY 12562",Cool tablet,256
t-491080,Jonathan Leon,jonathan.leon@example.com,+1-613-749-0729x84463,"750 Giles Plaza, Turnermouth, WV 44428",Fancy camera,1102
t-516782,Danny Jacobson,danny.jacobson@example.com,001-475-793-3201,"71695 Watts Unions, Christianburgh, MO 41966",Fancy camera,400
t-249438,Taylor Brandt,taylor.brandt@example.com,515.524.0382,"56816 Rodriguez Road Apt. 837, North Kristopherborough, NJ 59915",Yet another laptop,294
t-180562,Greg Anderson,greg.anderson@example.com,713-528-9928,"67590 Ashley Garden, Robinside, AZ 13072",Fancy camera,242
t-295161,Roy Blair,roy.blair@example.com,001-346-456-4267x790,"PSC 5484, Box 4162, APO AP 63367",Cool tablet,803
t-102016,Dakota Chase,dakota.chase@example.com,4217767632,"5629 Crystal Plaza Suite 577, Melindahaven, IA 79118",Yet another laptop,471
t-382245,Scott Cook,scott.cook@example.com,428-643-8201x62880,"USS Shaffer, FPO AE 22296",Nice headphones,1153
t-389141,Mark Bonilla,mark.bonilla@example.com,2833950353,"534 Calvin Bridge Apt. 351, North Melissaland, MD 05899",Nice headphones,669
t-393176,Jake Molina,jake.molina@example.com,(577)741-6575,"99898 Todd Mall, West Jessica, AZ 20796",Nice headphones,1033
t-639597,Melissa Reed,melissa.reed@example.com,+1-253-246-0871x14679,"880 Moore Prairie, South Shannontown, AR 98070",Cool tablet,1060
t-257913,Rita Thompson,rita.thompson@example.com,285.432.0144,"0429 John Knoll, Frenchberg, RI 27201",Retro mobile phone,733
t-324903,Robert Ho,robert.ho@example.com,913-205-4003,"67035 Macdonald Motorway, Kimport, TX 10473",Fancy camera,543
t-783760,Randy Palmer,randy.palmer@example.com,001-409-806-4830,"0381 John Street, New Jorge, FM 84118",Yet another laptop,878
t-563884,James Chang,james.chang@example.com,665-555-1085x803,"PSC 2526, Box 5966, APO AE 31534",Nice headphones,439
t-600358,Michael Lucas,michael.lucas@example.com,(496)430-7822x290,"108 Kramer Unions Apt. 735, South Jonathanchester, NH 97999",Cool tablet,63
t-642784,Ricardo Atkinson,ricardo.atkinson@example.com,786.252.7267x04479,"960 Davis Oval Suite 956, North Michele, TN 33174",Cool tablet,361
t-553556,Jasmine Wilson,jasmine.wilson@example.com,+1-897-856-1475x42782,"8635 Bradshaw Burgs, Port Nathanberg, MD 52636",Retro mobile phone,449
t-486379,Kaitlyn Sullivan,kaitlyn.sullivan@example.com,+1-590-282-6331x02907,"03057 Ernest Lights Apt. 481, Robertport, AS 85658",Nice headphones,437
t-944608,Rodney Rodriguez,rodney.rodriguez@example.com,(844)211-9133x82818,"1944 Danielle Trace, Lake Mackenzieberg, NV 68541",Nice headphones,804
t-819458,Phyllis Elliott PhD,phyllis.elliott@example.com,+1-591-665-3630x99617,"0203 Timothy Brook Suite 906, New Alexander, KY 56658",Fancy camera,788
t-764854,Albert Larson,albert.larson@example.com,256-655-8002,"886 Lacey Crossroad Apt. 917, South Richardborough, ID 91723",Nice headphones,628
t-664188,Christopher Brooks,christopher.brooks@example.com,487-338-8383x722,"60730 Obrien Fords Suite 920, Port Melissachester, VI 19285",Yet another laptop,842
t-813243,Justin Lopez,justin.lopez@example.com,(867)876-6492x517,"809 Patricia Keys, Lake Dorothy, DE 04695",Fancy camera,932
t-886714,Paul Brown,paul.brown@example.com,2056463833,"7434 Velasquez Mountain, West Garyview, CO 76934",Fancy camera,618
t-402553,Beth Simpson,beth.simpson@example.com,6729495869,"4963 Hicks Corners, Lake Lorettaside, ND 37729",Retro mobile phone,134
t-347761,Stacy Smith,stacy.smith@example.com,994-345-6056x2141,"Unit 9977 Box 8992, DPO AP 66635",Nice headphones,1059
t-737295,Mr. Jonathan Barron,mr..jonathan@example.com,001-478-703-5777x77070,"33046 Paula Spurs Suite 345, Lake Eric, SD 52434",Retro mobile phone,328
t-719052,Marcus Diaz,marcus.diaz@example.com,431-820-4730x3186,"2844 Lindsey Point Apt. 561, Seanville, SC 40675",Cool tablet,630
t-526516,Daniel Stephenson,daniel.stephenson@example.com,338.426.3239x6342,"563 Jason Fall Apt. 261, Nicoleshire, KS 65667",Cool tablet,490
t-289612,Holly Gonzalez,holly.gonzalez@example.com,4647217951,"996 Cummings Spur, Lake Mark, NE 02248",Cool tablet,430
t-200731,Mark Cole,mark.cole@example.com,238-377-0530x70360,"9936 Kelly Trafficway, Lake Michelleport, CT 91640",Cool tablet,65
t-941735,Kari Rodriguez,kari.rodriguez@example.com,932-891-4810,"058 Richards Views Apt. 131, Jimenezburgh, AS 33165",Retro mobile phone,806
t-662414,Heather Delgado,heather.delgado@example.com,208-987-5186,"19547 Amanda Row, Jorgeborough, WI 37866",Retro mobile phone,1017
t-533692,Kevin Carter II,kevin.carter@example.com,6637702633,"028 Holly Ports, West Dustin, PW 85616",Retro mobile phone,907
t-556229,Ronald Clark,ronald.clark@example.com,(856)374-2732,"759 Molly Throughway Apt. 229, Lake Matthew, LA 71147",Cool tablet,266
t-627915,John Wilson,john.wilson@example.com,001-513-700-9448x724,"Unit 6665 Box 5149, DPO AP 85768",Yet another laptop,912
t-889208,David Myers,david.myers@example.com,4298860223,"847 Tammy Cove Suite 212, Austinland, VI 49101",Cool tablet,942
